0	Kenya election 2017: President Kenyatta urges peaceful vote	BBC News	2017-08-07T23:39:49Z	Uhuru Kenyatta appeals for calm as he faces rival Raila Odinga in Tuesday's general election.	http://www.bbc.co.uk/news/world-africa-40855040
1	'Dodgy' greenhouse gas data threatens Paris accord	BBC News	2017-08-07T23:22:58Z	There are huge uncertainties in greenhouse gas totals due to inaccurate data, the BBC finds.	http://www.bbc.co.uk/news/science-environment-40669449
2	Venezuela: Hackers target Venezuelan government sites	BBC News	2017-08-07T21:19:50Z	Messages appeared to support armed men who attacked a military base, and decried the "dictatorship".	http://www.bbc.co.uk/news/world-latin-america-40853490
3	Fleeing Trump: Couple leaving the Carolinas for Canada	BBC News	2017-08-07T21:28:49Z	Many anti-Trump Americans talked about leaving the US for Canada. This couple is actually doing it.	http://www.bbc.co.uk/news/av/world-us-canada-40855318/fleeing-trump-couple-leaving-the-carolinas-for-canada
4	Driver crawls across ladder in Texas floods	BBC News	2017-08-07T21:07:51Z	Firefighters in Texas extend a ladder to a stranded driver as the floodwaters wreak havoc below.	http://www.bbc.co.uk/news/av/world-us-canada-40857989/driver-crawls-across-ladder-in-texas-floods
5	9/11 victim identified 16 years on	BBC News	2017-08-07T19:50:15Z	The man is the 1,641st victim to be identified, out of the 2,753 people who died in the attack.	http://www.bbc.co.uk/news/world-us-canada-40855907
6	Four men who negotiate with IS	BBC News	2017-08-07T10:49:24Z	Four men are negotiating with Islamic State over the release of Yazidi women	http://www.bbc.co.uk/news/av/world-40832600/four-men-who-negotiate-with-is
7	Colorado bear drives car after getting stuck inside	BBC News	2017-08-07T16:21:27Z	Bears commonly trap themselves in vehicles in Colorado, but rarely crash the car in the process.	http://www.bbc.co.uk/news/world-us-canada-40852915
8	Toronto police officer buys shoplifter suit he tried to steal	BBC News	2017-08-07T15:59:55Z	The 18-year-old said he had stolen the shirt and tie from Walmart for a job interview outfit.	http://www.bbc.co.uk/news/world-us-canada-40852824
9	North Korea vows to retaliate against US over sanctions	BBC News	2017-08-07T19:29:55Z	Pyongyang threatens the US for drafting fresh sanctions that were approved by the UN on Saturday.	http://www.bbc.co.uk/news/world-asia-40846959
